data,cdi_index,cdi_retorno_diario_pct,cdi_acumulado_desde_inicio_pct
2017-04-03,232334.8,,0.0
2017-04-04,232440.4,0.04545164994653739,0.04545164994653739
2017-04-05,232546.0,0.04543100080709461,0.09090329989309698
2017-04-06,232651.7,0.04545337266605998,0.1363979911748192
2017-04-07,232757.4,0.04543272196162462,0.18189268245651924
2017-04-10,232863.2,0.04545505320132648,0.22743041507342632
2017-04-11,232969.0,0.045434400970179034,0.2729681476903112
2017-04-12,233074.9,0.04545669166282629,0.3185489216423809
2017-04-13,233180.8,0.045436037943158425,0.36412969559445063
2017-04-14,233180.8,0.0,0.36412969559445063
2017-04-17,233278.5,0.04189881842759924,0.40618108006205134
2017-04-18,233376.2,0.041881270670041104,0.44823246452965204
2017-04-19,233473.9,0.0418637376047748,0.49028384899723054
2017-04-20,233571.7,0.041889050553400864,0.5323782747999939
2017-04-21,233571.7,0.0,0.5323782747999939
2017-04-24,233669.5,0.04187151097498898,0.5744727006027572
2017-04-25,233767.4,0.041896781565409213,0.6166101677406832
2017-04-26,233865.3,0.041879235513597735,0.6587476348786314
2017-04-27,233963.3,0.041904463808872805,0.7009281433517422
2017-04-28,234061.3,0.04188691132327449,0.7431086518248753
2017-05-02,234159.3,0.04186937353589659,0.7852891602979861
2017-05-03,234257.4,0.04189455639813655,0.8275127101062818
2017-05-04,234355.5,0.04187701220965678,0.8697362599145775
2017-05-05,234453.7,0.04190215292578792,0.912002851058058
2017-05-08,234551.9,0.0418846023756414,0.9542694422015163
2017-05-09,234650.1,0.04186706652131722,0.9965360333449969
2017-05-10,234748.4,0.041892161989265375,1.03884566582364
2017-05-11,234846.8,0.041917218605114215,1.0811983396374458
2017-05-12,234945.1,0.04185707448431941,1.1235079721161112
2017-05-15,235043.5,0.04188212480276121,1.1658606459299392
2017-05-16,235142.0,0.04190713633860366,1.2082563610789299
2017-05-17,235240.5,0.041889581614507065,1.2506520762279205
2017-05-18,235339.0,0.041872041591473064,1.2930477913769334
2017-05-19,235437.6,0.04189700814569708,1.3354865478611089
2017-05-22,235536.2,0.04187946190412628,1.3779253043452844
2017-05-23,235634.8,0.041861930352937726,1.4203640608294599
2017-05-24,235733.5,0.04188685202695108,1.4628458586488202
2017-05-25,235832.3,0.04191173507370749,1.5053706978033432
2017-05-26,235931.1,0.04189417649747007,1.5478955369578884
2017-05-29,236029.9,0.0418766326270692,1.5904203761124114
2017-05-30,236128.8,0.04190147095770591,1.6329882566021192
2017-05-31,236227.7,0.04188392097872473,1.675556137091827
2017-06-01,236326.6,0.04186638569481094,1.7181240175815349
2017-06-02,236417.2,0.038336776308711684,1.7571194672515889
2017-06-05,236507.8,0.0383220848567678,1.7961149169216206
2017-06-06,236598.5,0.03834968656424298,1.8351534079268372
2017-06-07,236689.2,0.03833498521756962,1.874191898932076
2017-06-08,236779.9,0.03832029513808344,1.9132303899372927
2017-06-09,236870.7,0.03834784962744031,1.9523119222776941
2017-06-12,236961.5,0.038333149688840606,1.9913934546180734
2017-06-13,237052.3,0.03831846101580716,2.030474986958475
2017-06-14,237143.2,0.03834596837914983,2.069599560634061
2017-06-15,237143.2,0.0,2.069599560634061
2017-06-16,237234.1,0.03833126988250779,2.1087241343096252
2017-06-19,237325.0,0.03831658264978888,2.1478487079852115
2017-06-20,237416.0,0.03834404297904381,2.1870163229959605
2017-06-21,237507.0,0.038329345958154626,2.2261839380067094
